category,name,value
overall,total_rows,1128
overall,silver_rows,232
overall,selected_gold_rows,896
label,false,500
label,half-true,7
label,mostly-true,121
label,true,500
source_dataset,gold,896
source_dataset,silver,232
claim_type,economic,43
claim_type,environmental,23
claim_type,general,49
claim_type,health,18
claim_type,introduced_date,350
claim_type,legislative,70
claim_type,party_vote_direction,176
claim_type,session_parliament,9
claim_type,sponsor,3
claim_type,status_snapshot,358
claim_type,vote,29
gold_claim_type,introduced_date,350
gold_claim_type,party_vote_direction,176
gold_claim_type,session_parliament,9
gold_claim_type,sponsor,3
gold_claim_type,status_snapshot,358
silver_claim_type,economic,43
silver_claim_type,environmental,23
silver_claim_type,general,49
silver_claim_type,health,18
silver_claim_type,legislative,70
silver_claim_type,vote,29
