category,name,value
overall,total_rows,2357
overall,true_rows,852
overall,false_rows,1505
claim_family,bill_fact,1863
claim_family,vote_fact,494
claim_type,introduced_date,667
claim_type,party_vote_direction,494
claim_type,session_parliament,15
claim_type,sponsor,3
claim_type,status_snapshot,1178
rule_id,hansard_natural.bill.introduced_date,667
rule_id,hansard_natural.bill.session_parliament,15
rule_id,hansard_natural.bill.sponsor,3
rule_id,hansard_natural.status.snapshot_on_source_date,1178
rule_id,hansard_natural.vote.unique_bill_party_event,494
gold_resolution_method,scored_resolution,257
gold_resolution_method,single_candidate,2100
resolution,negative_best_score,28
resolution,score_tie,343
resolution,scored_group_rows,2770
resolution,scored_resolution,257
resolution,single_candidate,2100
skipped,unresolved_ambiguous_group,371
