category,name,value
overall,total_rows,8415
overall,true_rows,947
overall,false_rows,7468
claim_type,introduced_date,6136
claim_type,party_vote_direction,724
claim_type,session_parliament,374
claim_type,sponsor,3
claim_type,status_snapshot,1178
claim_origin,hansard_natural,8415
rule_id,hansard_natural.bill.introduced_date,6136
rule_id,hansard_natural.bill.session_parliament,374
rule_id,hansard_natural.bill.sponsor,3
rule_id,hansard_natural.status.snapshot_on_source_date,1178
rule_id,hansard_natural.vote.unique_bill_party_event,724
skipped,candidate.no_supported_rule,1814080
skipped,conflict.claim_text_multiple_labels,383
skipped,duplicate.claim_evidence_pair,12773
skipped,introduced_date.bill_unresolved,2
skipped,introduced_date.missing_fact_date,72
skipped,introduced_date.no_explicit_date,279721
skipped,sponsor.ambiguous_name,50313
skipped,sponsor.missing_name_phrase,11
skipped,status_bill.unresolved,143
skipped,status_snapshot.no_status_on_source_date,354230
skipped,vote_bill.unresolved,7
skipped,vote_event.ambiguous,15937
skipped,vote_party.unresolved_or_ambiguous,30040
unresolved,candidate_unresolved,1814080
