claim_text,label
"Just this week, the Liberals voted against the sovereignty act, which would have gotten Canada working again.",False
"Just this week, the Liberals voted against the sovereignty act, which would have gotten Canada working again.",False
"Speaker, Conservatives voted for Bill C-5 , but the Prime Minister 's Major Projects Office has not approved any new projects.",True
"Speaker, Conservatives voted for Bill C-5 , but the Prime Minister 's Major Projects Office has not approved any new projects.",True
"However, every time Conservatives could have supported these vulnerable Canadians, they voted against the measures our government was putting in place.",False
"Ultimately, that is why I voted against the Liberals' budget.",True
"Speaker, I think it is clear to everyone that the Bloc Québécois is not going to vote for this bill any more than it voted for the budget.",False
The Liberals voted against both.,True
"This was a real plan to give people relief, but the Liberals voted against it.",True
All 22 of the Bloc Québécois members voted against it.,True
I am sure we will hear from the Liberals about how we voted against that.,True
"What I can tell the seniors at home across this country and in my own riding, Madam Speaker, is that when this government introduced measures to actually increase old age security to be able to strengthen support for seniors, the Conservative Party voted against them.",False
The Conservatives voted against it consistently throughout the last number of Parliaments.,False
The Conservatives voted against it.,False
Canadians want a better answer for the 2 million people lining up at foods bank than to hear that Conservatives voted against a tax cut.,False
"Back in the day, I guess it was in 2015 or 2016, the Conservatives voted against a tax break for Canada's middle class.",False
Even the Liberals voted for it.,False
"Speaker, as everyone knows, the Bloc Québécois voted against this budget and will be voting against its implementation.",True
"Madam Speaker, well, let me be very clear: I voted against the Liberals.",True
"Madam Speaker, if the question is how many Conservative members voted for the budget, the answer is zero.",True
"The Bloc Québécois has 22 members, and all 22 members voted against this budget.",True
"I would like to know how many of the 143 Conservative members actually voted against this budget, not counting the curtains.",False
That evidently explains why the Bloc Québécois voted against this budget.,True
"Once again, the Conservatives can keep emailing me to ask about sport infrastructure in their communities, even though they voted against the budget and are vocal opponents of these investments when they are in the House of Commons.",False
The Conservatives voted against it.,False
Those are all things the Conservative Party voted against.,False
"The Bloc Québécois voted against a budget that reinforces the importance of investing in the clean economy, so it cannot stand up now and say that it is the authority on clean energy.",True
"That is far from the case, since the Bloc Québécois members voted against a budget that directly helps provide clean energy for all.",True
"Speaker, the Bloc Québécois voted against the budget speech.",True
"We asked that the OAS benefit be the same for seniors aged 65 to 74 as it is for seniors aged 75 and over, but the Liberals are mystified that we voted against the budget.",True
"They voted for common-sense Conservatives, and now we have the largest opposition in years, with 25 new seats.",True
